pdb_code,dataset,label
MANY-1fit_1,MANY,1
MANY-1fjs_1,MANY,1
MANY-1fk8_1,MANY,1
MANY-1fl1_1,MANY,1
MANY-1fl2_2,MANY,0
MANY-1flj_1,MANY,0
MANY-1flm_1,MANY,1
MANY-1fmb_1,MANY,1
MANY-1fmi_2,MANY,0
MANY-1fp5_1,MANY,1
MANY-1fqb_1,MANY,0
MANY-1ft1_2,MANY,0
MANY-1fte_1,MANY,1
MANY-1fts_1,MANY,0
MANY-1fuo_4,MANY,1
MANY-1fvi_1,MANY,0
MANY-1fx4_1,MANY,0
MANY-1fxq_1,MANY,1
MANY-1fzc_4,MANY,1
MANY-1fzc_6,MANY,1
MANY-1fzm_1,MANY,1
MANY-1fzv_1,MANY,1
MANY-1g0h_1,MANY,1
MANY-1g1a_2,MANY,1
MANY-1g3k_1,MANY,1
MANY-1g3k_3,MANY,1
MANY-1g3p_1,MANY,0
MANY-1g55_2,MANY,0
MANY-1g57_1,MANY,1
MANY-1g5c_4,MANY,0
MANY-1g5r_2,MANY,0
MANY-1g68_2,MANY,0
MANY-1g6k_3,MANY,1
MANY-1g6n_1,MANY,1
MANY-1g7a_2,MANY,1
MANY-1g7b_2,MANY,1
MANY-1g7s_1,MANY,0
MANY-1g8p_1,MANY,0
MANY-1g9b_1,MANY,0
MANY-1g9q_3,MANY,0
MANY-1gak_1,MANY,0
MANY-1gc0_1,MANY,1
MANY-1gc2_3,MANY,1
MANY-1gc2_5,MANY,1
MANY-1ge8_1,MANY,1
MANY-1gec_1,MANY,0
MANY-1gef_2,MANY,1
MANY-1geg_4,MANY,1
MANY-1gfs_2,MANY,0
MANY-1ghr_1,MANY,0
MANY-1gjy_1,MANY,1
MANY-1gk8_11,MANY,1
MANY-1gk8_17,MANY,1
MANY-1gk8_4,MANY,1
MANY-1gl2_1,MANY,1
MANY-1gl2_2,MANY,1
MANY-1gl2_4,MANY,1
MANY-1gl4_2,MANY,0
MANY-1gmu_1,MANY,1
MANY-1gnk_2,MANY,1
MANY-1gnw_1,MANY,1
MANY-1go3_1,MANY,1
MANY-1go4_8,MANY,0
MANY-1goj_1,MANY,0
MANY-1gq8_1,MANY,0
MANY-1gqb_1,MANY,0
MANY-1gqe_1,MANY,0
MANY-1gqn_1,MANY,1
MANY-1gqo_17,MANY,1
MANY-1gqo_7,MANY,1
MANY-1grn_2,MANY,0
MANY-1gs5_2,MANY,0
MANY-1gse_1,MANY,1
MANY-1gso_1,MANY,0
MANY-1gsq_1,MANY,1
MANY-1gsu_1,MANY,1
MANY-1gta_1,MANY,1
MANY-1guj_2,MANY,1
MANY-1gv3_1,MANY,1
MANY-1gvf_2,MANY,1
MANY-1gwq_1,MANY,1
MANY-1gx1_1,MANY,1
MANY-1gxr_2,MANY,0
MANY-1gy8_1,MANY,1
MANY-1gyy_1,MANY,1
MANY-1gzq_1,MANY,1
MANY-1gzt_2,MANY,1
MANY-1h05_1,MANY,1
MANY-1h05_2,MANY,1
MANY-1h0n_1,MANY,1
MANY-1h10_1,MANY,0
MANY-1h1y_1,MANY,1
MANY-1h2b_1,MANY,1
MANY-1h3n_2,MANY,0
MANY-1h3u_1,MANY,1
MANY-1h4v_2,MANY,0
MANY-1h5q_12,MANY,1
MANY-1h64_4,MANY,1
MANY-1h6d_11,MANY,1
MANY-1h6t_1,MANY,0
MANY-1h76_1,MANY,0
MANY-1h7c_1,MANY,0
MANY-1h7k_3,MANY,1
MANY-1h7s_2,MANY,0
MANY-1h7z_2,MANY,1
MANY-1h8d_1,MANY,1
MANY-1h8u_1,MANY,0
MANY-1ha7_1,MANY,1
MANY-1hcg_1,MANY,1
MANY-1hcz_1,MANY,0
MANY-1hdc_1,MANY,1
MANY-1hfo_6,MANY,1
MANY-1hg8_1,MANY,0
MANY-1hh1_1,MANY,1
MANY-1hh8_1,MANY,0
MANY-1hiz_1,MANY,0
MANY-1hj1_1,MANY,1
MANY-1hk9_6,MANY,1
MANY-1hn0_1,MANY,0
MANY-1hnk_1,MANY,1
MANY-1hnu_1,MANY,1
MANY-1hq0_1,MANY,0
MANY-1hqk_2,MANY,1
MANY-1hqo_1,MANY,1
MANY-1hqo_2,MANY,0
MANY-1hqv_1,MANY,1
MANY-1htq_23,MANY,1
MANY-1htv_2,MANY,1
MANY-1huu_1,MANY,1
MANY-1huu_2,MANY,1
MANY-1hvb_1,MANY,0
MANY-1hwu_1,MANY,1
MANY-1hxh_2,MANY,1
MANY-1hxi_1,MANY,0
MANY-1hxj_2,MANY,0
MANY-1hxq_2,MANY,0
MANY-1hxs_4,MANY,1
MANY-1hxt_1,MANY,1
MANY-1hyp_1,MANY,0
MANY-1hyu_2,MANY,0
MANY-1hzd_4,MANY,1
MANY-1i2h_2,MANY,0
MANY-1i45_1,MANY,1
MANY-1i52_1,MANY,1
MANY-1i5p_1,MANY,0
MANY-1i6a_1,MANY,1
MANY-1i6w_1,MANY,0
MANY-1i81_2,MANY,1
MANY-1i8f_3,MANY,1
MANY-1i9h_1,MANY,1
MANY-1iap_1,MANY,0
MANY-1ids_4,MANY,1
MANY-1ied_1,MANY,1
MANY-1ig0_1,MANY,1
MANY-1ig3_1,MANY,1
MANY-1ig8_1,MANY,0
MANY-1ihc_1,MANY,1
MANY-1iho_1,MANY,1
MANY-1iir_1,MANY,0
MANY-1ij8_1,MANY,1
MANY-1ijq_1,MANY,0
MANY-1ik6_1,MANY,1
MANY-1ikp_1,MANY,0
MANY-1imb_1,MANY,1
MANY-1in4_1,MANY,0
MANY-1inh_1,MANY,1
MANY-1inl_1,MANY,1
MANY-1inp_1,MANY,0
MANY-1io1_1,MANY,0
MANY-1iof_2,MANY,1
MANY-1iof_4,MANY,1
MANY-1iow_1,MANY,1
MANY-1ipb_1,MANY,0
MANY-1iq0_1,MANY,0
MANY-1iqa_1,MANY,1
MANY-1iqc_1,MANY,1
MANY-1ir2_60,MANY,1
MANY-1irj_2,MANY,1
MANY-1is2_2,MANY,0
MANY-1isb_1,MANY,1
MANY-1iu8_1,MANY,1
MANY-1iu8_2,MANY,1
MANY-1iuc_2,MANY,0
MANY-1iug_1,MANY,1
MANY-1iuk_1,MANY,0
MANY-1iv2_5,MANY,1
MANY-1iv8_1,MANY,0
MANY-1ixc_2,MANY,1
MANY-1ixk_1,MANY,0
MANY-1ixl_1,MANY,1
MANY-1ixz_1,MANY,0
MANY-1iy8_2,MANY,1
MANY-1iy9_2,MANY,1
MANY-1iyh_1,MANY,1
MANY-1iz6_1,MANY,0
MANY-1izd_1,MANY,0
MANY-1izm_2,MANY,0
MANY-1izn_4,MANY,0
MANY-1j0x_3,MANY,1
MANY-1j1u_1,MANY,1
MANY-1j1y_1,MANY,1
MANY-1j2v_1,MANY,1
MANY-1j35_1,MANY,1
MANY-1j3l_5,MANY,1
MANY-1j53_1,MANY,0
MANY-1j55_1,MANY,1
MANY-1j6o_1,MANY,0
MANY-1j71_1,MANY,0
MANY-1j73_1,MANY,1
MANY-1j74_1,MANY,0
MANY-1j7d_2,MANY,0
MANY-1j7g_1,MANY,1
MANY-1j7h_3,MANY,1
MANY-1j7x_1,MANY,0
MANY-1j85_1,MANY,1
MANY-1j8h_2,MANY,1
MANY-1j8y_3,MANY,0
MANY-1ja9_1,MANY,1
MANY-1jbu_1,MANY,1
MANY-1jbv_1,MANY,0
MANY-1jce_1,MANY,0
MANY-1jd1_1,MANY,1
MANY-1je5_2,MANY,0
MANY-1jg2_1,MANY,0
MANY-1jgj_1,MANY,0
MANY-1jgt_2,MANY,0
MANY-1jhc_2,MANY,0
MANY-1jif_1,MANY,1
MANY-1jig_1,MANY,1
MANY-1jj2_2,MANY,1
MANY-1jj2_3,MANY,1
MANY-1jj2_4,MANY,1
MANY-1jja_3,MANY,1
MANY-1jjv_1,MANY,0
MANY-1jke_1,MANY,1
MANY-1jlw_1,MANY,1
MANY-1jmo_2,MANY,1
MANY-1jmo_3,MANY,0
MANY-1jmv_1,MANY,1
MANY-1job_2,MANY,0
MANY-1jp4_1,MANY,0
MANY-1jpc_1,MANY,1
MANY-1jpu_1,MANY,1
MANY-1jqb_1,MANY,1
MANY-1jqi_3,MANY,1
MANY-1jr8_1,MANY,1
MANY-1js1_1,MANY,1
MANY-1js1_4,MANY,0
MANY-1jth_2,MANY,1
MANY-1jth_3,MANY,1
MANY-1juo_1,MANY,1
MANY-1jvb_1,MANY,1
MANY-1jvs_1,MANY,1
MANY-1jya_1,MANY,1
MANY-1jyh_2,MANY,0
MANY-1jyo_3,MANY,1
MANY-1jzo_2,MANY,0
MANY-1k0r_3,MANY,0
MANY-1k0w_1,MANY,1
MANY-1k1a_1,MANY,0
MANY-1k24_1,MANY,0
MANY-1k2h_1,MANY,1
MANY-1k2w_1,MANY,1
MANY-1k2x_5,MANY,1
MANY-1k30_1,MANY,0
MANY-1k3t_4,MANY,1
MANY-1k3t_7,MANY,1
MANY-1k4c_2,MANY,1
MANY-1k4n_1,MANY,0
MANY-1k4o_1,MANY,1
MANY-1k4t_1,MANY,0
MANY-1k4w_1,MANY,0
MANY-1k6x_2,MANY,0
MANY-1k74_2,MANY,0
MANY-1k7c_1,MANY,0
MANY-1k7j_1,MANY,0
MANY-1k9d_2,MANY,0
MANY-1kap_1,MANY,0
MANY-1kbv_5,MANY,1
MANY-1kea_2,MANY,0
MANY-1ket_1,MANY,1
MANY-1kgs_1,MANY,0
MANY-1kgz_1,MANY,1
MANY-1kgz_2,MANY,0
MANY-1kit_1,MANY,0
MANY-1kj1_1,MANY,1
MANY-1kjv_1,MANY,1
MANY-1kk0_1,MANY,0
MANY-1kkc_1,MANY,1
MANY-1klc_1,MANY,1
MANY-1klj_1,MANY,1
MANY-1kmz_1,MANY,1
MANY-1kn1_3,MANY,1
MANY-1knb_1,MANY,1
MANY-1knw_3,MANY,0
MANY-1kq1_10,MANY,1
MANY-1kq3_1,MANY,1
MANY-1kq6_2,MANY,0
MANY-1kqy_1,MANY,0
MANY-1kr4_1,MANY,1
MANY-1ks2_1,MANY,1
MANY-1kso_1,MANY,1
MANY-1ktz_1,MANY,1
MANY-1ku5_1,MANY,1
MANY-1kw1_1,MANY,1
MANY-1kxg_6,MANY,1
MANY-1kyv_4,MANY,1
MANY-1kzl_1,MANY,0
MANY-1l1l_2,MANY,0
MANY-1l2e_1,MANY,0
MANY-1l2l_1,MANY,0
MANY-1l6e_1,MANY,1
MANY-1l6x_1,MANY,1
MANY-1l8j_1,MANY,0
MANY-1lb4_1,MANY,0
MANY-1lbw_1,MANY,1
MANY-1lc3_1,MANY,0
MANY-1lc5_1,MANY,1
MANY-1lcy_1,MANY,1
MANY-1lfk_1,MANY,0
MANY-1lfp_1,MANY,0
MANY-1lfw_1,MANY,0
MANY-1ljo_1,MANY,1
MANY-1lk5_2,MANY,1
MANY-1lld_1,MANY,1
MANY-1llu_4,MANY,1
MANY-1lph_1,MANY,1
MANY-1lpk_1,MANY,1
MANY-1lq0_1,MANY,0
MANY-1lqb_1,MANY,1
MANY-1lqt_3,MANY,0
MANY-1lrm_1,MANY,0
